Key,Id,zh-Hans,en
"ACTIVATION",3314955647,"激活设备","Activate Device"
"ACTIVATION_CODE_COPIED",2492018094,"激活码已复制，点击下方链接激活设备。","Activation code copied. Click the link below to activate your device."
"ACTIVATION_FAILED_TIPS",3314955648,"激活失败，请尝试重启应用。","Activation failed. Please try restarting the application."
"LOADING_RESOURCES",3314955649,"加载资源...","Loading resources..."
"LOADING_MODEL",3314955650,"加载模型...","Loading model..."
"STATE_STARTING",3314955651,"启动中","Starting"
"STATE_STANDBY",3314955652,"待机中","Standby"
"STATE_CONNECTING",3314955653,"连接中","Connecting"
"STATE_LISTENING",3314955654,"聆听中","Listening"
"STATE_SPEAKING",3314955655,"说话中","Speaking"
"STATE_ERROR",3314955656,"错误","Error"
"MIC_NOT_FOUND_TIPS",3314955657,"麦克风未找到。","Microphone not found."
"SettingsUI_Title",3314955658,"设置","Settings"
"SettingsUI_Modify_Tips",3314955659,"修改成功，重启后生效。","Changes applied successfully. Will take effect after restart."
"SettingsUI_Invalid_Url_Tips",3314955660,"无效的URL，请重新输入。","Invalid URL. Please try again."
"SettingsUI_Invalid_MacAddress_Tips",3314955661,"无效的MAC地址，请重新输入。","Invalid MAC address. Please try again."
"SettingsUI_Placeholder",3314955662,"请输入{0}","Please enter {0}"
"SettingsUI_OTAUrl",3314955663,"OTA URL","OTA URL"
"SettingsUI_WebSocketUrl",3314955664,"WebSocket URL","WebSocket URL"
"SettingsUI_WebSocketAccessToken",3314955665,"WebSocket Access Token","WebSocket Access Token"
"SettingsUI_CustomMacAddress",3314955666,"MAC地址","MAC Address"
"SettingsUI_DisplayMode",3314955667,"显示模式","Display Mode"
"SettingsUI_DisplayMode_Emoji",3314955668,"Emoji","Emoji"
"SettingsUI_DisplayMode_VRM",3314955669,"VRM","VRM"
"SettingsUI_Character",3314955670,"Character","Character"
"SettingsUI_BreakMode",3314955671,"打断模式","Break Mode"
"SettingsUI_BreakMode_None",3314955672,"关闭","Off"
"SettingsUI_BreakMode_Keyword",3314955673,"关键词","Keyword"
"SettingsUI_BreakMode_VAD",3314955674,"人声","Voice"
"SettingsUI_BreakMode_Free",3314955675,"自由","Free"
"SettingsUI_Keywords",3314955676,"关键词","Keywords"
"SettingsUI_Keywords_Help",3314955677,"<u><i><link=""https://k2-fsa.github.io/sherpa/onnx/kws/index.html#what-is-open-vocabulary-keyword-spotting"">如何填写关键词</link></i></u>","<u><i><link=""https://k2-fsa.github.io/sherpa/onnx/kws/index.html#what-is-open-vocabulary-keyword-spotting"">How to set keywords</link></i></u>"
"SettingsUI_Microphone",3314955678,"麦克风","Microphone"
"SettingsUI_Volume",3314955679,"音量","Volume"
"SettingsUI_AutoHide",3314955680,"自动隐藏UI","Auto-hide UI"
"SettingsUI_Theme",3314955681,"主题","Theme"
"SettingsUI_Fill",3314955682,"填充","Fill"
"SettingsUI_Lang",3314955683,"语言","Language"
"SettingsUI_Restart",3314955684,"重启","Restart"
"Permission_ReadStorage",3314955685,"文件读取","File Read"
"Permission_WriteStorage",3314955686,"文件写入","File Write"
"Permission_Camera",3314955687,"相机","Camera"
"Permission_Microphone",3314955688,"录音","Microphone"
"Permission_One_Request_Failed",3314955689,"{0}权限请求失败。","{0} permission request failed."
"Permission_Request_Failed",3314955690,"权限请求失败，请尝试重启应用。","Permission request failed. Please try restarting the application."
"iOS_App_Info_Camera_Usage_Desc",2159087987941376,"小智需要使用您的相机","XiaoZhi needs to use your camera"
"iOS_App_Info_Location_Usage_Desc",2159308025323520,"小智需要定位您的位置","XiaoZhi needs to access your location"
"iOS_App_Info_Mic_Usage_Desc",2159389092831232,"小智需要使用麦克风与您对话","XiaoZhi needs to use the microphone to talk with you"
"iOS_App_Info_User_Tracking_Usage_Desc",2159431325278208,"小智需要访问您的广告标识符","XiaoZhi needs to access your advertising identifier"
"App_Info_Short_Name",2160026320855040,"小智Unity","XiaoZhi Unity"
"App_Info_Display_Name",2160154335207424,"小智Unity","XiaoZhi Unity"
"MIoT_Account",7051894095568896,"用户ID/邮箱/手机号","User ID/Email/Phone"
"MIoT_PassToken",7052005739552768,"PassToken","PassToken"
"MIoT_Login",7052053349097472,"登录","Login"
"MIoT_Logout",7052100107198464,"退出登录","Logout"
"MIoT_LoginSuccess",7052185847160832,"登录成功","Login Successful"
"MIoT_LoginFailed",7052351807381504,"登录失败","Login Failed"
"MIoT_Home",7052665411297280,"家庭","House"
"MIoT_Room",7052731333173248,"房间","Room"
"MIoT_DeviceTips",7052790267338752,"语音控制下方选中的IoT设备，重启之后生效","Voice control the selected IoT devices below, changes will take effect after restart"
"MIoT_Refresh",7053541869838336,"刷新","Refresh"
"MIoT_ClearAll",7053570470797312,"清除选中","Clear Selection"
"MIoT_ModifyPropertyFailed",7053948998344704,"修改{0}的属性失败: {1}","Failed to modify {0} property: {1}"
"SettingsUI_Tab_Common",7054207824650240,"通用","Common"
"SettingsUI_Tab_MIoT",7054277517205504,"米家","MIoT"
